gbta,"[14.21, 0.83, 1.22, 1.35, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
gbtb,"[7.33, 0.62, 0.88, 1.11, 7.83, 0.37, 1.02, 0.71, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
gbtc,"[56.78, 1.23, 3.63, 2.8, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
gbtd,"[29.01, 0.83, 1.29, 1.45, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
gbte,"[3.73, 0.84, 0.73, 0.33, 3.85, 0.71, 0.52, 0.88, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
gbtf,"[15.25, 0.54, 2.54, 0.6, 14.64, 0.36, 0.81, 3.86, 11.54, 0.21, 0.12, 1.27, 13.95, 0.15, 0.04, 0.66]"
gbtg,"[16.97, 0.6, 1.38, 0.6, 16.28, 0.74, 1.84, 2.33, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
gmrta,"[26.14, 0.67, 2.75, 0.56, 26.03, 0.71, 2.37, 3.43, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
gmrtb,"[11.43, 0.88, 1.09, 3.01, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
