PNGFILE,Category,Prob,T-test,T-test_prob,SNR,WIDTH,DM,SourceName,RA,DEC,MJD,Hfreq,NCHANS,BANDWIDTH,filename
B_0000_126.063sec_DM1144.30.png,B,*,6.14,100.00,6.10281,2.79620266667,1144.3,1_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,7954.40673828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_1_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
B_0003_193.524sec_DM1883.54.png,B,*,3.07,99.55,6.17795,1.39810133333,1883.54,2_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,6595.03173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_2_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
B_0002_1332.390sec_DM1290.13.png,B,*,9.57,100.00,6.23056,2.79620266667,1290.13,2_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,6595.03173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_2_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
0001_272.271sec_DM2010.30.png,0001,*,2.20,96.47,6.65513,2.79620266667,2010.3,2_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,6595.03173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_2_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
B_0000_200.629sec_DM722.64.png,B,*,5.83,100.00,6.7974,2.79620266667,722.642,2_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,6595.03173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_2_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
B_0000_994.796sec_DM100.00.png,B,*,3.05,99.52,9.69945,1.39810133333,100.0,3_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,5235.65673828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_3_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
C_0003_929.177sec_DM1922.49.png,C,*,1.44,83.93,6.29935,2.79620266667,1922.49,3_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,5235.65673828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_3_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
0002_383.364sec_DM1629.50.png,0002,*,1.26,78.21,6.46999,5.59240533333,1629.5,3_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,5235.65673828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_3_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
C_0001_625.795sec_DM567.21.png,C,*,1.96,94.01,8.99754,0.699050666667,567.214,3_DIAG_FRB1211,53158.632,330852.44,57991.6406712963,5235.65673828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_3_spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
0002_926.329sec_DM2002.19.png,0002,*,4.92,100.00,6.81766,5.59240533333,2002.19,DIAG_FRB121102,53158.632,330852.44,57991.6406712963,9313.78173828125,3712,-5437.5,/mnt_blpd9/datax/incoming/spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
B_0009_1411.340sec_DM1073.99.png,B,*,3.56,99.87,6.14995,2.79620266667,1073.99,DIAG_FRB121102,53158.632,330852.44,57991.6406712963,9313.78173828125,3712,-5437.5,/mnt_blpd9/datax/incoming/spliced_guppi_57991_55354_DIAG_FRB121102_0014.gpuspec.0001.8.4chan.fil
