PNGFILE,Category,Prob,T-test,T-test_prob,SNR,WIDTH,DM,SourceName,RA,DEC,MJD,Hfreq,NCHANS,BANDWIDTH,filename
C_0004_166.451sec_DM1514.72.png,C,*,1.12,72.77,7.89909,0.349525333333,1514.72,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
C_0002_168.197sec_DM1798.29.png,C,*,1.90,93.26,11.333,2.79620266667,1798.29,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
C_0006_166.023sec_DM1656.47.png,C,*,1.58,87.62,7.39401,0.699050666667,1656.47,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
C_0007_164.690sec_DM1845.59.png,C,*,1.78,91.56,6.76306,0.349525333333,1845.59,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
0000_167.996sec_DM1987.53.png,0000,*,0.25,19.38,30.9897,0.349525333333,1987.53,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
0009_167.327sec_DM1325.84.png,0009,*,0.92,63.39,6.5618,0.699050666667,1325.84,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
0008_167.007sec_DM1798.29.png,0008,*,3.94,99.96,6.67176,5.59240533333,1798.29,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
0005_167.789sec_DM1987.53.png,0005,*,0.86,60.10,7.51089,5.59240533333,1987.53,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
0003_167.753sec_DM1514.72.png,0003,*,0.11,8.32,9.17671,2.79620266667,1514.72,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
C_0001_167.987sec_DM1798.29.png,C,*,2.45,98.41,25.5944,0.349525333333,1798.29,0_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,9313.78173828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_0_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
C_0000_789.156sec_DM607.51.png,C,*,2.90,99.30,11.7181,0.699050666667,607.511,1_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,7954.40673828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_1_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
B_0006_1172.480sec_DM1399.29.png,B,*,8.33,100.00,6.37459,5.59240533333,1399.29,1_DIAG_FRB1211,53158.632,330852.44,57991.619618055556,7954.40673828125,928,-1359.375,/datax/scratch/jfaber/SPANDAK_extension/pipeline_playground/FRB121102/diced_1_spliced_guppi_57991_53535_DIAG_FRB121102_0013.gpuspec.0001.8.4chan.fil
