,LvsI,RM,fname
0,0.9294106960296631,80000,pulse_120303983.calib
1,0.9283512830734253,80050,pulse_120303983.calib
2,0.9271295666694641,80100,pulse_120303983.calib
3,0.9252559542655945,80150,pulse_120303983.calib
4,0.9231052994728088,80200,pulse_120303983.calib
5,0.9129858613014221,80250,pulse_120303983.calib
6,0.8999587893486023,80300,pulse_120303983.calib
7,0.891432523727417,80350,pulse_120303983.calib
8,0.8838055729866028,80400,pulse_120303983.calib
9,0.8774236440658569,80450,pulse_120303983.calib
10,0.8794479370117188,80500,pulse_120303983.calib
11,0.8874483108520508,80550,pulse_120303983.calib
12,0.8965540528297424,80600,pulse_120303983.calib
13,0.906227707862854,80650,pulse_120303983.calib
14,0.9167444109916687,80700,pulse_120303983.calib
15,0.9280482530593872,80750,pulse_120303983.calib
16,0.9404371380805969,80800,pulse_120303983.calib
17,0.9535505175590515,80850,pulse_120303983.calib
18,0.9680274724960327,80900,pulse_120303983.calib
19,0.995370626449585,80950,pulse_120303983.calib
20,1.028459906578064,81000,pulse_120303983.calib
21,1.0500801801681519,81050,pulse_120303983.calib
22,1.0700407028198242,81100,pulse_120303983.calib
23,1.0792607069015503,81150,pulse_120303983.calib
24,1.0805258750915527,81200,pulse_120303983.calib
25,1.0828962326049805,81250,pulse_120303983.calib
26,1.0858889818191528,81300,pulse_120303983.calib
27,1.0895916223526,81350,pulse_120303983.calib
28,1.0939552783966064,81400,pulse_120303983.calib
29,1.0993740558624268,81450,pulse_120303983.calib
30,1.1053783893585205,81500,pulse_120303983.calib
31,1.1123491525650024,81550,pulse_120303983.calib
32,1.1200448274612427,81600,pulse_120303983.calib
33,1.1287044286727905,81650,pulse_120303983.calib
34,1.1384161710739136,81700,pulse_120303983.calib
35,1.1495329141616821,81750,pulse_120303983.calib
36,1.1614123582839966,81800,pulse_120303983.calib
37,1.1619112491607666,81850,pulse_120303983.calib
38,1.1500269174575806,81900,pulse_120303983.calib
39,1.138396978378296,81950,pulse_120303983.calib
40,1.127273440361023,82000,pulse_120303983.calib
41,1.125237226486206,82050,pulse_120303983.calib
42,1.1330232620239258,82100,pulse_120303983.calib
43,1.1424524784088135,82150,pulse_120303983.calib
44,1.153425693511963,82200,pulse_120303983.calib
45,1.1659759283065796,82250,pulse_120303983.calib
46,1.1800787448883057,82300,pulse_120303983.calib
47,1.195888638496399,82350,pulse_120303983.calib
48,1.21358060836792,82400,pulse_120303983.calib
49,1.2329133749008179,82450,pulse_120303983.calib
50,1.2543609142303467,82500,pulse_120303983.calib
51,1.2776110172271729,82550,pulse_120303983.calib
52,1.3031039237976074,82600,pulse_120303983.calib
53,1.3306052684783936,82650,pulse_120303983.calib
54,1.360394835472107,82700,pulse_120303983.calib
55,1.3927925825119019,82750,pulse_120303983.calib
56,1.427590250968933,82800,pulse_120303983.calib
57,1.4491654634475708,82850,pulse_120303983.calib
58,1.4478819370269775,82900,pulse_120303983.calib
59,1.4468669891357422,82950,pulse_120303983.calib
60,1.435402750968933,83000,pulse_120303983.calib
61,1.4137448072433472,83050,pulse_120303983.calib
62,1.3928862810134888,83100,pulse_120303983.calib
63,1.3724185228347778,83150,pulse_120303983.calib
64,1.3530089855194092,83200,pulse_120303983.calib
65,1.3339875936508179,83250,pulse_120303983.calib
66,1.3155778646469116,83300,pulse_120303983.calib
67,1.2977901697158813,83350,pulse_120303983.calib
68,1.2802711725234985,83400,pulse_120303983.calib
69,1.2633270025253296,83450,pulse_120303983.calib
70,1.246603012084961,83500,pulse_120303983.calib
71,1.2305576801300049,83550,pulse_120303983.calib
72,1.2148544788360596,83600,pulse_120303983.calib
73,1.1990571022033691,83650,pulse_120303983.calib
74,1.1839855909347534,83700,pulse_120303983.calib
75,1.1689294576644897,83750,pulse_120303983.calib
76,1.1541690826416016,83800,pulse_120303983.calib
77,1.1397223472595215,83850,pulse_120303983.calib
78,1.1253501176834106,83900,pulse_120303983.calib
79,1.111222505569458,83950,pulse_120303983.calib
80,1.097320795059204,84000,pulse_120303983.calib
81,1.083572506904602,84050,pulse_120303983.calib
82,1.0786945819854736,84100,pulse_120303983.calib
83,1.0781035423278809,84150,pulse_120303983.calib
84,1.078168272972107,84200,pulse_120303983.calib
85,1.0789222717285156,84250,pulse_120303983.calib
86,1.080510139465332,84300,pulse_120303983.calib
87,1.0826998949050903,84350,pulse_120303983.calib
88,1.0854933261871338,84400,pulse_120303983.calib
89,1.0890964269638062,84450,pulse_120303983.calib
90,1.0932923555374146,84500,pulse_120303983.calib
91,1.0982935428619385,84550,pulse_120303983.calib
92,1.103990077972412,84600,pulse_120303983.calib
